"popularity_rank","title","release_date","author","publisher","pages","price","score"
1,"물고기는 존재하지 않는다","2021","룰루 밀러","곰출판",850,"17,000원",95
2,"나를 나답게 만드는 것들","2020","빌 설리번","브론스테인",990,"19,800원",94
3,"코스모스","2010","칼 세이건","사이언스북스",990,"19,900원",92
4,"우리는 각자의 세계가 된다","2022","데이비드 이글먼","알에이치코리아",1100,"22,000원",88
5,"이기적 유전자","2018","리처드 도킨스","을유문화사",1000,"20,000원",87
6,"다정한 것이 살아남는다","2021","브라이언 헤어","디플롯",1100,"22,000원",86
7,"종의 기원","2019","찰스 다윈","사이언스북스",1100,"22,000원",84
8,"면역","2022","필리프 데트머","사이언스북스",1750,"35,000원",83
9,"복잡한 세상을 이기는 수학의 힘","2023","류쉐펑","미디어숲",1100,"22,000원",82
10,"이과형의 만만한 과학책","2023","이과형","토네이도",890,"17,800원",80
