"CTY_NM","CTY_CD","gender","age_0_9","age_10_19","age_100_over","age_20_29","age_30_39","age_40_49","age_50_59","age_60_69","age_70_79","age_80_89","age_90_99","total_pop"
"강남구",1168,"female",16266,28396,84,36551,41047,52548,41276,33063,19154,7377,1682,277444
"강남구",1168,"male",17272,30875,18,33052,35335,44709,41588,28263,16826,5833,562,254333
"강동구",1174,"female",16032,18331,57,30493,35302,37569,36423,35565,17117,7100,1483,235472
"강동구",1174,"male",17348,20407,21,28849,34552,37426,35155,31514,15754,4737,395,226158
"강북구",1130,"female",6557,10059,35,20838,17324,20912,25937,25071,16751,7921,1094,152499
"강북구",1130,"male",6910,10356,13,19730,19111,22156,25446,22030,12696,5299,407,144154
"강서구",1150,"female",17267,21058,72,46211,48649,44357,43510,42798,21662,10270,1958,297812
"강서구",1150,"male",17866,22027,17,38667,49145,44690,40449,36659,19048,6083,582,275233
"관악구",1162,"female",9123,13184,60,56500,38276,30149,32762,31873,20291,8714,1292,242224
"관악구",1162,"male",9773,13672,14,53372,47644,34743,33954,27874,16879,6377,420,244722
"광진구",1121,"female",8333,12184,39,32663,27481,25464,27505,23217,12180,5954,953,175973
"광진구",1121,"male",8812,12448,16,28722,27189,24670,26339,21154,10249,3973,348,163920
"구로구",1153,"female",12128,14074,36,27445,29520,29635,31253,30405,17247,7626,1177,200546
"구로구",1153,"male",12754,14752,14,25888,30927,31011,30720,27153,15385,5322,378,194304
"금천구",1154,"female",5426,6818,23,18990,16671,14782,19412,17775,9755,4435,667,114754
"금천구",1154,"male",5792,6970,9,18273,20474,16620,19609,17201,8613,3018,232,116811
"노원구",1135,"female",14287,24047,74,33801,31364,41992,44956,38086,21394,11700,1978,263679
"노원구",1135,"male",15201,25776,16,35395,31081,38307,41911,33042,16563,6455,640,244387
"도봉구",1132,"female",7805,11510,55,20062,18958,22847,28904,27290,15127,7951,1268,161777
"도봉구",1132,"male",8446,12246,29,20412,19806,22511,26708,24365,12767,5262,462,153014
"동대문구",1123,"female",9299,11358,49,29089,23546,23529,25692,24432,15193,7678,1117,170982
"동대문구",1123,"male",9739,11552,19,27376,25044,25161,26361,23150,12459,5081,406,166348
"동작구",1159,"female",10860,13229,66,33735,29995,28454,29972,27161,16843,7771,1306,199392
"동작구",1159,"male",11377,13877,19,31263,30727,28544,28155,23309,13268,5471,496,186506
"마포구",1144,"female",11054,13677,52,34045,33253,30497,28217,22013,13614,7393,1200,195015
"마포구",1144,"male",11547,13926,19,27192,29757,28685,27066,19287,9937,4672,481,172569
"서대문구",1141,"female",9097,11298,57,25957,22257,22945,25061,21154,13430,7554,1150,159960
"서대문구",1141,"male",9368,11291,19,23053,21792,22206,23833,18903,9959,4808,431,145663
"서초구",1165,"female",14678,21728,78,26467,31323,39466,31714,25633,14606,5887,1273,212853
"서초구",1165,"male",15533,22488,24,24449,26534,34579,31161,22155,12698,4708,490,194819
"성동구",1120,"female",9143,9503,36,21697,23511,21363,23119,19408,11189,5823,867,145659
"성동구",1120,"male",9576,9382,17,20951,22607,21495,22561,18629,9042,3590,312,138162
"성북구",1129,"female",13174,17955,60,34332,29240,34290,35590,30352,18590,9640,1546,224769
"성북구",1129,"male",13697,18571,14,31569,29158,33016,34715,26879,14335,6313,523,208790
"송파구",1171,"female",23219,28429,81,46852,55756,55959,52924,46872,22217,9284,1971,343564
"송파구",1171,"male",24594,29727,15,42572,50621,52598,49771,41411,20980,6467,641,319397
"양천구",1147,"female",13749,23406,41,27752,27709,39383,38254,31829,15978,7406,1337,226844
"양천구",1147,"male",14547,25422,13,28548,27207,36058,37735,29054,14287,4417,416,217704
"영등포구",1156,"female",11690,11342,33,31529,33959,26879,27460,24779,14763,7399,1144,190977
"영등포구",1156,"male",12336,12242,15,26798,35314,28502,28668,23434,12567,5142,442,185460
"용산구",1117,"female",6038,7174,58,17265,19120,16913,18312,15121,8997,5490,1032,115520
"용산구",1117,"male",6306,7352,19,15159,18760,16401,17739,14240,6989,3341,437,106743
"은평구",1138,"female",13106,18075,56,33974,34037,37161,40416,36256,22123,10797,1525,247526
"은평구",1138,"male",13851,18934,17,30689,32684,36398,37455,31240,16990,7294,596,226148
"종로구",1111,"female",3318,5141,26,11856,9729,10603,12364,10171,6437,3813,653,74111
"종로구",1111,"male",3385,5035,14,10818,9634,9937,12381,10234,5200,2577,298,69513
"중구",1114,"female",2961,3265,22,9673,9987,8416,9799,9020,5682,3284,615,62724
"중구",1114,"male",3113,3237,14,8327,9923,8790,10111,8979,4695,1950,225,59364
"중랑구",1126,"female",10216,12389,51,27569,28057,26740,33820,31554,17353,8084,1243,197076
"중랑구",1126,"male",10770,12790,20,26252,29631,28857,33137,29684,14551,5361,380,191433
